Sno,Weight
279,0.01917087
280,-0.007935845
281,-0.0051764343
282,-0.0014699736
283,-0.0009589871
284,0.05511634
285,-0.07382342
286,-0.006315263
287,0.0480248
288,0.017180333
289,0.004638251
290,0.03456117
291,0.042108294
292,0.109028295
293,-0.03576665
294,-0.030890139
295,-0.0074200872
296,0.008063187
297,0.027416758
298,0.028008515
299,0.03723521
300,-0.33308494
301,-0.3410854
302,-0.053688087
303,-0.26222584
304,0.04976028
305,0.02423417
306,-0.030352047
307,0.018430652
308,0.022624742
309,0.011121727
310,0.022496581
311,0.030256506
312,-0.07884104
313,0.005164831
314,-0.029612936
315,0.13477655
316,0.022733726
317,0.022542993
318,0.006769496
319,0.03394911
320,-0.101406254
321,-0.22844237
322,0.01104466
323,-0.035241317
324,0.01209267
325,0.034155853
326,0.025507024
327,0.032636732
328,0.1059916
329,-0.021483894
330,-0.04742619
331,-0.01644978
332,0.015249595
333,-0.0021643052
334,0.0356768
335,0.04686296
336,-0.14250995
337,0.101653025
338,0.011409421
339,-0.031010231
340,0.03459204
341,0.037237275
342,-0.0061116433
343,0.016886363
344,0.037903525
345,0.008864495
346,0.0075569307
347,0.028461117
348,0.016573075
349,0.052777894
350,0.00031028187
351,0.010778297
352,0.016242718
353,0.033527534
354,0.022283725
355,0.025497723
356,0.022280864
357,0.044509105
358,0.018784927
359,-0.0030263832
360,0.036846034
361,0.049103923
362,-0.0066933814
363,0.025313785
364,-0.101568185
365,0.11737571
366,-0.014452004
367,-0.08347382
368,0.029761044
369,0.026380194
370,0.013061853
371,0.04760631
372,0.016347708
373,0.034214787
374,0.015172802
375,0.012035076
376,-0.011491675
377,-0.011760388
378,0.00017970595
379,-4.5065797e-05
380,0.0019587171
381,0.014095609
382,0.04080224
383,0.03612816
384,0.045501348
385,-0.00094325305
386,0.022535361
387,0.02894106
388,0.011856975
389,0.036619782
390,0.036023416
391,0.0253584
392,0.04300557
393,0.088341445
394,-0.02886412
395,-0.027135488
396,0.11017252
397,-0.02958503
398,-0.04869083
399,0.040624738
400,-0.044428147
401,-0.06667703
402,0.008857936
403,0.010612158
404,-0.005573617
405,-0.007409877
406,0.002626859
407,0.011600894
408,-0.017660324
409,0.050918467
410,-0.003435351
411,-0.10289112
412,0.035913743
413,0.011273248
414,0.020341238
415,0.03527658
416,0.038670305
417,-0.0016538826
418,0.011595607
419,0.026956975
420,-0.02476041
421,0.09045321
422,0.006420214
423,-0.07238941
424,-0.068670765
425,-0.104905345
426,0.020763986
427,-0.03379022
428,-0.02418139
429,0.05447333
430,0.016013924
431,0.010250613
432,0.033042904
433,0.034313656
434,0.027102534
435,0.024030143
436,-0.08879322
437,0.087435536
438,-0.00491746
439,-0.019984787
440,-0.0060492214
441,0.0010414228
442,-0.011457223
443,-0.013835276
444,0.038779758
445,0.046911247
446,-0.034270685
447,-0.099754855
448,0.010752278
449,0.04672562
450,0.012470771
451,-0.0005614734
452,0.023042794
453,0.044755768
454,-0.012408284
455,-0.09057982
456,0.018944994
457,-0.045921527
458,-0.0048515997
459,0.018087847
460,-0.24724725
461,0.05800057
462,0.04702236
463,-0.1369477
464,0.044236343
465,0.02353575
466,-0.0026123798
467,0.010900457
468,-0.07052665
469,0.024233945
470,-0.029220881
471,0.083726354
472,0.023618875
473,0.03627594
474,0.0117018595
475,0.03332725
476,0.025104819
477,0.027588904
478,-0.004339104
479,0.041076474
480,-0.01892225
481,-0.014788683
482,-0.0044817342
483,0.07019299
484,0.027226945
485,0.02584346
486,0.01125065
487,0.018958079
488,0.014181137
489,0.043293938
490,0.018108897
491,-0.017476073
492,0.03624819
493,0.028190471
494,0.0145046925
495,0.040953662
496,0.04398213
497,0.012650906
498,-0.01339939
499,0.0363154
500,0.044967867
501,0.011338078
502,0.0012807595
503,0.037044015
504,0.0053755855
505,0.043569032
506,0.04254086
507,-0.0012061887
508,0.03249476
509,0.028128028
510,0.01937584
511,0.024031008
512,-0.0046793027
513,0.009155286
514,0.017713577
515,0.011565382
516,-0.25345668
517,-0.31124115
518,-0.052709572
519,0.08188369
520,-0.0099169025
521,-0.30124128
522,0.003203346
523,-0.04664749
524,-0.07899905
525,-0.10592988
526,0.011095171
527,-0.006662935
528,0.052050572
529,0.06391026
530,-0.025356265
531,0.06913836
532,0.0019708835
533,0.039804775
534,0.020238101
535,0.03932942
536,0.016421394
537,0.0479353
538,-0.0046512927
539,0.013833603
540,-0.041787528
541,0.06776613
542,-0.04121773
543,0.049905695
544,0.021219764
